Fq (MHz),Relative Power,?,Radial Velocity (km/s)
1419.273438,0.039518,0.00051,77.55706
1419.274609,0.03941,0.000511,77.174507
1419.275781,0.039465,0.00051,77.405312
1419.276953,0.039502,0.00051,77.493507
1419.278125,0.039509,0.00051,77.433525
1419.279297,0.039527,0.000509,77.632973
1419.280469,0.039538,0.000508,77.783073
1419.281641,0.039528,0.000509,77.651382
1419.282812,0.03953,0.00051,77.539085
1419.283984,0.039527,0.000509,77.583839
1419.285156,0.039493,0.000508,77.719925
1419.286328,0.039493,0.000509,77.52668
1419.2875,0.039532,0.000512,77.273796
1419.288672,0.039562,0.000512,77.335144
1419.289844,0.039616,0.000512,77.43222
1419.291016,0.039619,0.000512,77.353584
1419.292187,0.039649,0.000512,77.480392
1419.293359,0.039664,0.000512,77.465981
1419.294531,0.039504,0.000512,77.167946
1419.295703,0.039498,0.000511,77.267006
1419.296875,0.039513,0.000511,77.277016
1419.298047,0.03952,0.000511,77.379684
1419.299219,0.039525,0.000511,77.350906
1419.300391,0.039536,0.000512,77.284744
1419.301563,0.03961,0.000511,77.529747
1419.302734,0.039688,0.000509,77.932724
1419.303906,0.039644,0.00051,77.662514
1419.305078,0.039515,0.000513,76.997459
1419.30625,0.039544,0.000513,77.139046
1419.307422,0.039704,0.000512,77.605202
1419.308594,0.039768,0.000511,77.792915
1419.309766,0.03966,0.00051,77.700516
1419.310937,0.03961,0.000511,77.450432
1419.312109,0.039581,0.000511,77.385567
1419.313281,0.039589,0.00051,77.697044
1419.314453,0.039617,0.000509,77.873306
1419.315625,0.039549,0.000509,77.658966
1419.316797,0.039458,0.00051,77.319206
1419.317969,0.039452,0.000511,77.204247
1419.319141,0.039502,0.000511,77.376541
1419.320312,0.039592,0.00051,77.702721
1419.321484,0.039569,0.00051,77.627701
1419.322656,0.039503,0.00051,77.424904
1419.323828,0.039455,0.00051,77.383682
1419.325,0.039488,0.00051,77.443848
1419.326172,0.039529,0.000511,77.419182
1419.327344,0.039474,0.000511,77.177994
1419.328516,0.039393,0.000511,77.12471
1419.329687,0.039362,0.000509,77.278206
1419.330859,0.039378,0.000509,77.439529
1419.332031,0.03938,0.000508,77.464088
1419.333203,0.039482,0.000507,77.819519
1419.334375,0.039565,0.000508,77.903587
1419.335547,0.039624,0.000508,77.934158
1419.336719,0.039581,0.000508,77.868279
1419.337891,0.039486,0.000509,77.562874
1419.339062,0.039461,0.000509,77.602402
1419.340234,0.039386,0.000509,77.392342
1419.341406,0.039419,0.00051,77.290535
1419.342578,0.039561,0.00051,77.553413
1419.34375,0.039493,0.000511,77.323845
1419.344922,0.039429,0.000509,77.400497
1419.346094,0.039384,0.000508,77.515152
1419.347266,0.039418,0.000508,77.643707
1419.348438,0.039404,0.000506,77.817917
1419.349609,0.039345,0.000506,77.705643
1419.350781,0.039242,0.000507,77.472801
1419.351953,0.039208,0.000506,77.42701
1419.353125,0.039258,0.000507,77.464386
1419.354297,0.039372,0.000506,77.733788
1419.355469,0.039832,0.000506,78.734261
1419.356641,0.039636,0.000506,78.349403
1419.357812,0.039288,0.000507,77.515205
1419.358984,0.03934,0.000506,77.75782
1419.360156,0.039336,0.000506,77.799515
1419.361328,0.0392,0.000506,77.484108
1419.3625,0.039232,0.000506,77.557968
1419.363672,0.039345,0.000505,77.853485
1419.364844,0.039268,0.000506,77.6791
1419.366016,0.039083,0.000505,77.315643
1419.367188,0.039059,0.000505,77.401474
1419.368359,0.039158,0.000503,77.835747
1419.369531,0.039139,0.000503,77.846222
1419.370703,0.0391,0.000503,77.761848
1419.371875,0.039197,0.000503,77.910751
1419.373047,0.039168,0.000503,77.79615
1419.374219,0.03912,0.000503,77.714745
1419.375391,0.039098,0.000505,77.49472
1419.376562,0.039003,0.000504,77.377411
1419.377734,0.038915,0.000503,77.371712
1419.378906,0.038906,0.000502,77.520943
1419.380078,0.03895,0.000501,77.670197
1419.38125,0.038923,0.000502,77.601006
1419.382422,0.038866,0.000501,77.569733
1419.383594,0.038849,0.000501,77.485008
1419.384766,0.038841,0.000502,77.30201
1419.385937,0.038678,0.000501,77.227554
1419.387109,0.038639,0.000499,77.420601
1419.388281,0.038737,0.000499,77.633537
1419.389453,0.038662,0.000499,77.520821
